ONS_ID,Name,num_fps,fps_per_1000_pop,avg_time_drive_5_fps,avg_dist_walk_5_fps,pct_15min_walk_fp
0,Ottawa,763,0.8321926585992332,2.98265786667209,2.088715825111882,0.6066398142667379
3,Beacon Hill South - Cardinal Heights,5,0.6887052341597797,1.8316113312383295,1.0840448695176939,0.8639158354966525
5,Beechwood Cemetery,0,NA,NA,NA,NA
6,Bells Corners East,6,1.3100436681222707,1.7114596021112465,0.9919131140885099,0.8879415347137637
7,Bells Corners West,0,0,2.7768752876208005,1.7487144500690288,0.07386102162908421
11,Braemar Park - Bel Air Heights - Copeland Park,1,0.2954209748892171,1.8669158969848019,1.216712329570444,0.9755167863949568
12,Briar Green - Leslie Park,0,0.5791505791505791,2.080114002478315,1.2153506691449814,0.737732342007435
13,Bridlewood - Emerald Meadows,6,0.24752475247524752,1.9895099726775958,1.2916954836065575,0.531311475409836
16,Carleton Heights - Rideauview,14,2.192638997650744,1.28852133044107,0.7230830492717695,0.9130771614502634
17,Carleton University,9,NA,NA,NA,NA
18,Carlington,6,0.7128309572301426,1.6730549255497487,1.0200163691943596,0.7544620846070407
23,Centrepointe,10,1.4347202295552368,1.8584596273291927,1.0105885438233264,0.94824016563147
24,Centretown,33,1.2149365731641952,1.05853130771107,0.46445152792780237,1
28,Civic Hospital-Central Park,31,2.8388278388278385,2.013397622192867,1.0705712021136062,0.8437692646411272
29,Constance Bay,0,0,18.06011380005762,19.82454088159032,0
30,Corkery,0,0,11.155492170022372,11.41463736017897,0
31,Cityview - Crestview - Meadowlands,12,1.5037593984962407,1.8887468811678396,0.9968599262652218,0.810523963802927
32,Crystal Bay - Lakeview Park,0,0,4.189036681810533,2.949460020191822,0
35,Dunrobin,1,0.16949152542372883,9.66477575971316,10.095577146887674,0.031387762299418094
38,Emerald Woods - Sawmill Creek,3,1.4260249554367201,1.4729190276000732,0.705834984463535,1
45,Greenboro East,0,0,2.26710553610787,1.3605819525476468,0.7993971217425127
46,Hawthorne Meadows - Sheffield Glen,7,1.0542168674698795,2.0580869698832203,1.055028733866011,0.7559926244622004
47,Hintonburg - Mechanicsville,10,1.0224948875255624,1.1046001266793346,0.5911920792079208,1
48,Hunt Club - Ottawa Airport,0,0,3.5786756285785417,2.1264485436893206,0.23039581777445856
49,Hunt Club East - Western Community,1,0.09519276534983341,2.6063798966712444,1.6494930743574654,0.9099470276633314
50,Hunt Club Park,1,0.11337868480725624,4.057300616158987,2.877677557927623,0.6425410049466285
51,Hunt Club South Industrial,5,6.0606060606060606,2.712461873638344,2.2929967320261437,0.05228758169934641
52,Hunt Club Upper -Blossom Park - Timbermill,11,1.4345487148834428,1.8925446343235082,0.949963803188439,0.8278472301869481
54,Iris - Queensway Terrance South,4,0.6796941376380629,1.9149119132022772,0.9516655816951336,0.9589107315501127
55,Island Park - Wellington Village,2,0.5208333333333334,1.6831177208385593,0.9471233112345457,0.9856656513169683
60,Lebreton Development,0,0,2.007876344086022,0.7814854838709677,0.9919354838709677
64,Manotick,25,2.7427317608337907,4.174945752244979,3.3896943655987086,0.1967366363559106
65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,2,1.3468013468013469,3.167011873350923,2.0326610817941955,0.25131926121372034
66,Metcalfe,0,0,11.994536417856498,12.489339671064524,0
67,Munster - Ashton,0,0,10.434466798904316,11.220011844715218,0
70,North Gower - Kars,0,0,9.816268920778455,9.850013092195793,0
71,Notre-Dame Cemetery,0,NA,NA,NA,NA
75,Chapel Hill South,3,0.29835902536051717,3.7320708834562155,2.6864625339542103,0.23282887077997672
76,Chatelaine Village,0,0,2.949614559386973,1.9576355402298848,0.18988505747126436
77,Orléans Industrial,12,76.47058823529413,0.15,0.154,1
81,Osgoode - Vernon,5,0.9328358208955224,6.185590920781893,5.044586033950617,0.3296682098765432
82,Old Ottawa East,4,0.5442176870748299,1.7643761140819965,0.8414583957219252,0.9143048128342246
83,Old Ottawa South,0,0,1.9662728418399495,0.9716239445494644,0.9933837429111532
85,Marlborough,0,0,11.919839675828047,10.911452959830868,0
86,Pineview,0,0,3.679844609906118,2.4249439948203304,0.3316607316283587
87,Playfair Park - Lynda Park - Guildwood Estates,0,0,3.9156880836548678,2.4256495218923,0
88,Qualicum - Redwood Park,1,0.2336448598130841,2.055644333786027,1.1614267994567677,0.9882299683114532
90,Riverside Park,3,0.6734006734006734,2.2722448684590923,1.3815940156114486,0.7508673026886383
93,Rothwell Heights - Beacon Hill North,8,1.2615235322658902,2.2904981090305325,1.3111009500968545,0.6512314362143714
97,South Keys - Greenboro West,31,7.328605200945627,1.724538897475528,1.098723735924045,0.830867741223228
99,Tanglewood,7,1.4814814814814814,2.1189524412551006,1.0526564795272266,0.7226677923174335
100,Trend-Arlington,0,0.20449897750511248,3.064196268847432,1.9819266036289291,0.7894198824431382
106,Whitehaven - Queensway Terrace North,0,0,2.361074599618289,1.2689639863911708,0.7648327939590076
108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,1,0.9738283627510651,2.4087472115997453,1.4156196462715105,0.7742590822179732
901,Bayshore - Belltown,4,0.43431053203040176,2.1507212605415003,1.1334984909010208,0.9900133155792277
902,Beaverbrook,6,0.9174311926605505,2.155525197328476,1.0360733758348513,0.8022161505768063
903,Billings Bridge - Alta Vista,15,1.265322261763543,1.8331408166433785,0.9618477720850799,0.7876106194690266
904,Blackburn Hamlet,3,0.3701418877236274,3.1771890943226806,2.151646871556263,0.8776784621035876
905,Borden Farm - Fisher Glen,0,0,2.74124832932371,1.630044373162256,0.20515904838278534
